,Year,Q,Quarter,Day of Week,Gross USD,key,Benchmark,% of Benchmark
27,2010,Q1,2010 Q1,Tuesday  ,168079.0,Q1_Tuesday  ,184796.75,90.95
28,2010,Q1,2010 Q1,Wednesday,70000.0,Q1_Wednesday,177409.0,39.46
29,2010,Q2,2010 Q2,Friday   ,152600.0,Q2_Friday   ,342480.2,44.56
30,2010,Q2,2010 Q2,Monday   ,77000.0,Q2_Monday   ,158861.0,48.47
31,2010,Q2,2010 Q2,Saturday ,421582.0,Q2_Saturday ,320159.0,131.68
32,2010,Q2,2010 Q2,Thursday ,277804.0,Q2_Thursday ,362335.4,76.67
33,2010,Q2,2010 Q2,Tuesday  ,268340.0,Q2_Tuesday  ,324610.6,82.67
34,2010,Q2,2010 Q2,Wednesday,293722.0,Q2_Wednesday,285785.2,102.78
35,2010,Q3,2010 Q3,Friday   ,87104.0,Q3_Friday   ,248087.4,35.11
36,2010,Q3,2010 Q3,Monday   ,156616.0,Q3_Monday   ,105072.33333333333,149.06
37,2010,Q3,2010 Q3,Saturday ,167520.0,Q3_Saturday ,197230.8,84.94
38,2010,Q3,2010 Q3,Sunday   ,111444.0,Q3_Sunday   ,183564.0,60.71
39,2010,Q3,2010 Q3,Thursday ,169700.0,Q3_Thursday ,211035.125,80.41
40,2010,Q3,2010 Q3,Tuesday  ,327215.0,Q3_Tuesday  ,168808.0,193.84
41,2010,Q3,2010 Q3,Wednesday,91000.0,Q3_Wednesday,233198.75,39.02
42,2010,Q4,2010 Q4,Friday   ,260461.0,Q4_Friday   ,415118.6,62.74
43,2010,Q4,2010 Q4,Monday   ,89196.0,Q4_Monday   ,269400.9,33.11
44,2010,Q4,2010 Q4,Saturday ,383454.0,Q4_Saturday ,363418.8,105.51
45,2010,Q4,2010 Q4,Sunday   ,97398.0,Q4_Sunday   ,177103.1,55.0
46,2010,Q4,2010 Q4,Thursday ,250926.0,Q4_Thursday ,281176.625,89.24
47,2010,Q4,2010 Q4,Tuesday  ,228570.0,Q4_Tuesday  ,250465.2,91.26
48,2010,Q4,2010 Q4,Wednesday,65898.0,Q4_Wednesday,110947.2,59.4
49,2011,Q1,2011 Q1,Friday   ,305808.0,Q1_Friday   ,305268.3,100.18
50,2011,Q1,2011 Q1,Monday   ,105000.0,Q1_Monday   ,127444.5,82.39
51,2011,Q1,2011 Q1,Saturday ,327553.0,Q1_Saturday ,333070.6,98.34
52,2011,Q1,2011 Q1,Sunday   ,25850.0,Q1_Sunday   ,57684.333333333336,44.81
53,2011,Q1,2011 Q1,Thursday ,302374.0,Q1_Thursday ,192778.5,156.85
54,2011,Q1,2011 Q1,Tuesday  ,45195.0,Q1_Tuesday  ,184796.75,24.46
55,2011,Q2,2011 Q2,Friday   ,264600.0,Q2_Friday   ,342480.2,77.26
56,2011,Q2,2011 Q2,Monday   ,222612.0,Q2_Monday   ,158861.0,140.13
57,2011,Q2,2011 Q2,Saturday ,203164.0,Q2_Saturday ,320159.0,63.46
58,2011,Q2,2011 Q2,Sunday   ,185844.0,Q2_Sunday   ,194014.625,95.79
59,2011,Q2,2011 Q2,Thursday ,419450.0,Q2_Thursday ,362335.4,115.76
60,2011,Q2,2011 Q2,Tuesday  ,262175.0,Q2_Tuesday  ,324610.6,80.77
61,2011,Q2,2011 Q2,Wednesday,302963.0,Q2_Wednesday,285785.2,106.01
62,2011,Q3,2011 Q3,Friday   ,360658.0,Q3_Friday   ,248087.4,145.38
63,2011,Q3,2011 Q3,Saturday ,223009.0,Q3_Saturday ,197230.8,113.07
64,2011,Q3,2011 Q3,Tuesday  ,203220.0,Q3_Tuesday  ,168808.0,120.39
65,2011,Q3,2011 Q3,Wednesday,284112.0,Q3_Wednesday,233198.75,121.83
66,2011,Q4,2011 Q4,Friday   ,486258.0,Q4_Friday   ,415118.6,117.14
67,2011,Q4,2011 Q4,Monday   ,83943.0,Q4_Monday   ,269400.9,31.16
68,2011,Q4,2011 Q4,Saturday ,336522.0,Q4_Saturday ,363418.8,92.6
69,2011,Q4,2011 Q4,Sunday   ,254663.0,Q4_Sunday   ,177103.1,143.79
70,2011,Q4,2011 Q4,Tuesday  ,199860.0,Q4_Tuesday  ,250465.2,79.8
71,2011,Q4,2011 Q4,Wednesday,97020.0,Q4_Wednesday,110947.2,87.45
72,2012,Q1,2012 Q1,Friday   ,230257.5,Q1_Friday   ,305268.3,75.43
73,2012,Q1,2012 Q1,Monday   ,149889.0,Q1_Monday   ,127444.5,117.61
74,2012,Q1,2012 Q1,Saturday ,464908.0,Q1_Saturday ,333070.6,139.58
75,2012,Q1,2012 Q1,Sunday   ,47803.0,Q1_Sunday   ,57684.333333333336,82.87
76,2012,Q1,2012 Q1,Thursday ,154000.0,Q1_Thursday ,192778.5,79.88
77,2012,Q1,2012 Q1,Tuesday  ,268313.0,Q1_Tuesday  ,184796.75,145.19
78,2012,Q2,2012 Q2,Friday   ,578308.0,Q2_Friday   ,342480.2,168.86
79,2012,Q2,2012 Q2,Monday   ,246688.0,Q2_Monday   ,158861.0,155.29
