,Year,Q,Quarter,Artist Genre,Gross USD,key,Benchmark,% of Benchmark
69,2011,Q3,2011 Q3,Folk,85045.75,Q3_Folk,69841.375,121.77
70,2011,Q3,2011 Q3,Indie,81160.5,Q3_Indie,83717.04000000001,96.95
71,2011,Q3,2011 Q3,Pop,122477.0,Q3_Pop,120966.25,101.25
72,2011,Q4,2011 Q4,Electronic,120484.0,Q4_Electronic,87869.63333333333,137.12
73,2011,Q4,2011 Q4,Folk,99638.0,Q4_Folk,93938.75,106.07
74,2011,Q4,2011 Q4,Hip Hop,126159.33333333333,Q4_Hip Hop,94407.75,133.63
75,2011,Q4,2011 Q4,Indie,97020.0,Q4_Indie,84105.78666666668,115.35
76,2011,Q4,2011 Q4,Other,68121.0,Q4_Other,73366.16666666667,92.85
77,2011,Q4,2011 Q4,Pop,126000.0,Q4_Pop,131360.52083333334,95.92
78,2011,Q4,2011 Q4,Punk or Metal,83943.0,Q4_Punk or Metal,89123.9,94.19
79,2011,Q4,2011 Q4,Rock,96236.0,Q4_Rock,94105.0625,102.26
80,2012,Q1,2012 Q1,Country,154000.0,Q1_Country,129178.0,119.22
81,2012,Q1,2012 Q1,Electronic,71197.5,Q1_Electronic,73839.0,96.42
82,2012,Q1,2012 Q1,Indie,88165.0,Q1_Indie,76606.2,115.09
83,2012,Q1,2012 Q1,Other,52943.0,Q1_Other,72572.55555555555,72.95
84,2012,Q1,2012 Q1,Pop,102086.0,Q1_Pop,92362.0,110.53
85,2012,Q1,2012 Q1,Punk or Metal,86575.0,Q1_Punk or Metal,89718.75,96.5
86,2012,Q1,2012 Q1,Rock,102492.625,Q1_Rock,99971.225,102.52
