,Event Date,Year,Month,Q,Quarter,Season,Day of Week,Time of Week,Number of Shows,Show Type,Headliner,Support,Number of Supporting Acts,Tickets Sold,Gross USD,Venue Capacity,Percent Tickets Sold,Minimum Ticket Price,Maximum Ticket Price,Ticket Range,Artist Start Date,Years Active,Artist Hometown,US Region,Local or Not,Miles From Home,Artist Genre,Main Genre,Hometown Latitude,Hometown Longitude
157,2009-07-13,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
158,2009-07-14,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
159,2009-07-15,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
160,2009-07-16,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
161,2009-07-17,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
162,2009-07-18,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
163,2009-07-19,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
164,2009-07-20,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
165,2009-07-21,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
166,2009-07-22,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
167,2009-07-23,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
168,2009-07-24,2009,July,Q3,2009 Q3,Summer,Friday   ,Weekend,1.0,single headliner,Of Montreal,Jon Brion,1.0,2430.0,66825.0,2800.0,87.0,27.5,27.5,0.0,1997.0,12.0,"Athens, Georgia, United States",South,US,2182.52125,Indie,indie pop,33.9597677,-83.376398
169,2009-07-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
170,2009-07-26,2009,July,Q3,2009 Q3,Summer,Sunday   ,Weekday,1.0,co-headliner,Eric Benet ,No support,4.0,1750.0,124000.0,1750.0,100.0,49.75,82.75,33.0,1996.0,13.0,"Milwaukee, Wisconsin, United States",Midwest,US,1833.454129,Soul,soul,43.0349931,-87.922497
171,2009-07-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
172,2009-07-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
