Start Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
2016-09-16,2,"""Brainfeeder""","Flying Lotus, George Clinton And Parliament Funkadelic , Shabazz Palaces, The Gaslamp Killer, Thundercat",2800.0,125542.5,251085.0,US DOLLAR,2800.0,100.0,45.0,50.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-17,1,Local Natives,Charlotte Day Wilson,2660.0,93255.0,93255.0,US DOLLAR,2800.0,95.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-19,1,Atmosphere,"Brother Ali, Dem Atlas, Last Word, Plain Ole Bill",2316.0,86992.0,86992.0,US DOLLAR,2800.0,83.0,37.5,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-20,1,Cold War Kids,The Strumbellas,1983.0,58730.0,58730.0,US DOLLAR,2800.0,71.0,29.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-21,1,St. Paul And The Broken Bones,Seratones,2262.0,66960.0,66960.0,US DOLLAR,2800.0,81.0,29.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-22,1,Lindsey Stirling,The Federal Empire,1847.0,84820.0,84820.0,US DOLLAR,1847.0,100.0,35.0,70.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-24,1,Tritonal,Apek,2655.0,94590.0,94590.0,US DOLLAR,2800.0,95.0,35.0,45.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-09-25,1,Natalia LaFourcade,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-09-26,1,Foals,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-01,1,Tegan And Sara,Shura,2938.0,127803.0,127803.0,US DOLLAR,2938.0,100.0,43.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-02,1,Tracy Morgan,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-05,1,Phantogram,The Range,2821.0,105813.0,105813.0,US DOLLAR,2821.0,100.0,37.5,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-06,1,Grouplove,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-10-07,1,St. Lucia,BAIO,1814.0,49920.0,49920.0,US DOLLAR,2800.0,65.0,27.5,30.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-08,1,Bob Weir,"Bryan Devendorf, Jon Shaw, Josh Kaufman, Scott Devendorf, Steve Kimock",2529.0,151722.0,151722.0,US DOLLAR,2800.0,91.0,58.0,78.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-10-12,1,Fitz And The Tantrums,Tyler Glenn,1780.0,62400.0,62400.0,US DOLLAR,2800.0,64.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
